Education,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Minorshome,TotalMnt,TotalPurchases,TotalCampPar,Age
Graduation,Single,58138.0,2012-09-04,58,635.0,88.0,546.0,172.0,88.0,88.0,3,8,10,4,7,0,0,0,0,0,0,1,0,1617.0,22,0,55
Graduation,Single,46344.0,2014-03-08,38,11.0,1.0,6.0,2.0,1.0,6.0,2,1,1,2,5,0,0,0,0,0,0,0,2,27.0,4,0,60
Graduation,Married,71613.0,2013-08-21,26,426.0,49.0,127.0,111.0,21.0,42.0,1,8,2,10,4,0,0,0,0,0,0,0,0,776.0,20,0,48
Graduation,Married,26646.0,2014-02-10,26,11.0,4.0,20.0,10.0,3.0,5.0,2,2,0,4,6,0,0,0,0,0,0,0,1,53.0,6,0,30
PhD,Married,58293.0,2014-01-19,94,173.0,43.0,118.0,46.0,27.0,15.0,5,5,3,6,5,0,0,0,0,0,0,0,1,422.0,14,0,33
Master,Married,62513.0,2013-09-09,16,520.0,42.0,98.0,0.0,42.0,14.0,2,6,4,10,6,0,0,0,0,0,0,0,1,716.0,20,0,46
Graduation,Single,55635.0,2012-11-13,34,235.0,65.0,164.0,50.0,49.0,27.0,4,7,3,7,6,0,0,0,0,0,0,0,1,590.0,17,0,41
PhD,Married,33454.0,2013-05-08,32,76.0,10.0,56.0,3.0,1.0,23.0,2,4,0,4,8,0,0,0,0,0,0,0,1,169.0,8,0,28
PhD,Married,30351.0,2013-06-06,19,14.0,0.0,24.0,3.0,3.0,2.0,1,3,0,2,9,0,0,0,0,0,0,1,1,46.0,5,0,39
PhD,Married,5648.0,2014-03-13,68,28.0,0.0,6.0,1.0,1.0,13.0,1,1,0,0,20,1,0,0,0,0,0,0,2,49.0,1,1,64
Graduation,Married,51687.459375,2013-11-15,11,5.0,5.0,6.0,0.0,2.0,1.0,1,1,0,2,7,0,0,0,0,0,0,0,1,19.0,3,0,30
High School,Married,7500.0,2012-11-13,59,6.0,16.0,11.0,11.0,1.0,16.0,1,2,0,3,8,0,0,0,0,0,0,0,0,61.0,5,0,36
Graduation,Single,63033.0,2013-11-15,82,194.0,61.0,480.0,225.0,112.0,30.0,1,3,4,8,2,0,0,0,0,0,0,0,0,1102.0,15,0,54
Master,Single,59354.0,2013-11-15,53,233.0,2.0,53.0,3.0,5.0,14.0,3,6,1,5,6,0,0,0,0,0,0,0,2,310.0,12,0,61
Graduation,Married,17323.0,2012-10-10,38,3.0,14.0,17.0,6.0,1.0,5.0,1,1,0,3,8,0,0,0,0,0,0,0,0,46.0,4,0,25
PhD,Single,82800.0,2012-11-24,23,1006.0,22.0,115.0,59.0,68.0,45.0,1,7,6,12,3,0,0,1,1,0,0,1,0,1315.0,25,2,66
Graduation,Married,41850.0,2012-12-24,51,53.0,5.0,19.0,2.0,13.0,4.0,3,3,0,3,8,0,0,0,0,0,0,0,2,96.0,6,0,32
Graduation,Married,37760.0,2012-08-31,20,84.0,5.0,38.0,150.0,12.0,28.0,2,4,1,6,7,0,0,0,0,0,0,0,0,317.0,11,0,66
Master,Married,76995.0,2013-03-28,91,1012.0,80.0,498.0,0.0,16.0,176.0,2,11,4,9,5,0,0,0,1,0,0,0,1,1782.0,24,1,64
2n Cycle,Single,33812.0,2012-11-03,86,4.0,17.0,19.0,30.0,24.0,39.0,2,2,1,3,6,0,0,0,0,0,0,0,1,133.0,6,0,27
Graduation,Married,37040.0,2012-08-08,41,86.0,2.0,73.0,69.0,38.0,48.0,1,4,2,5,8,0,0,0,0,0,0,0,0,316.0,11,0,30
Graduation,Married,2447.0,2013-01-06,42,1.0,1.0,1725.0,1.0,1.0,1.0,15,0,28,0,1,0,0,0,0,0,0,0,1,1730.0,28,0,34
PhD,Married,58607.0,2012-12-23,63,867.0,0.0,86.0,0.0,0.0,19.0,3,2,3,9,8,0,1,0,0,0,0,0,1,972.0,14,1,63
PhD,Married,65324.0,2014-01-11,0,384.0,0.0,102.0,21.0,32.0,5.0,3,6,2,9,4,0,0,0,0,0,0,0,1,544.0,17,0,60
Graduation,Married,40689.0,2013-03-18,69,270.0,3.0,27.0,39.0,6.0,99.0,7,7,1,5,8,0,0,0,0,0,0,0,1,444.0,13,0,62
Graduation,Single,18589.0,2013-01-02,89,6.0,4.0,25.0,15.0,12.0,13.0,2,2,1,3,7,0,0,0,0,0,0,0,0,75.0,6,0,44
Graduation,Married,53359.0,2013-05-27,4,173.0,4.0,30.0,3.0,6.0,41.0,4,5,1,4,7,0,0,0,0,0,0,0,2,257.0,10,0,37
Graduation,Single,51687.459375,2013-02-20,19,5.0,1.0,3.0,3.0,263.0,362.0,0,27,0,0,1,0,0,0,0,0,0,0,1,637.0,27,0,27
Graduation,Married,38360.0,2013-05-31,26,36.0,2.0,42.0,20.0,21.0,10.0,2,2,1,4,3,0,0,0,0,0,0,0,1,131.0,7,0,24
PhD,Married,84618.0,2013-11-22,96,684.0,100.0,801.0,21.0,66.0,0.0,1,6,9,10,2,0,0,1,0,0,0,0,0,1672.0,25,1,48
Master,Single,10979.0,2014-05-22,34,8.0,4.0,10.0,2.0,2.0,4.0,2,3,0,3,5,0,0,0,0,0,0,0,0,30.0,6,0,25
Master,Married,38620.0,2013-05-11,56,112.0,17.0,44.0,34.0,22.0,89.0,1,2,5,3,3,0,0,0,0,0,0,0,0,318.0,10,0,50
Graduation,Married,40548.0,2012-10-10,31,110.0,0.0,5.0,2.0,0.0,3.0,2,2,1,4,5,0,1,0,0,0,0,0,1,120.0,7,1,42
PhD,Single,46610.0,2012-10-29,8,96.0,12.0,96.0,33.0,22.0,43.0,6,4,1,6,6,0,0,0,0,0,0,1,2,302.0,11,0,60
Master,Married,68657.0,2013-02-20,4,482.0,34.0,471.0,119.0,68.0,22.0,1,3,5,9,7,0,0,0,0,0,0,0,0,1196.0,17,0,67
Master,Single,49389.0,2013-08-29,55,40.0,0.0,19.0,2.0,1.0,3.0,1,2,0,3,7,0,0,0,0,0,0,0,2,65.0,5,0,62
PhD,Married,67353.0,2013-12-31,37,702.0,17.0,151.0,0.0,8.0,35.0,5,5,6,12,2,0,0,0,0,0,0,0,1,913.0,23,0,43
2n Cycle,Married,23718.0,2013-09-02,76,6.0,3.0,14.0,15.0,7.0,36.0,3,3,1,2,7,0,0,0,0,0,0,0,1,81.0,6,0,37
Graduation,Single,42429.0,2014-02-11,99,55.0,0.0,6.0,2.0,0.0,4.0,2,1,1,3,5,0,0,0,0,0,0,0,1,67.0,5,0,41
PhD,Single,48948.0,2013-02-01,53,437.0,8.0,206.0,160.0,49.0,42.0,2,7,10,5,6,1,0,0,0,0,0,1,0,902.0,22,1,70
Graduation,Married,80011.0,2013-04-29,3,421.0,76.0,536.0,82.0,178.0,102.0,2,8,6,5,4,0,0,0,0,0,0,0,1,1395.0,19,0,33
Master,Married,20559.0,2013-03-12,88,13.0,1.0,29.0,3.0,0.0,7.0,2,2,0,3,8,0,0,0,0,0,0,0,1,53.0,5,0,28
Graduation,Married,21994.0,2012-12-24,4,9.0,0.0,6.0,3.0,1.0,3.0,1,0,0,3,5,0,0,0,0,0,0,0,1,22.0,3,0,55
PhD,Single,51687.459375,2013-11-05,80,81.0,11.0,50.0,3.0,2.0,39.0,1,1,3,4,2,0,0,0,0,0,0,0,0,186.0,8,0,54
Master,Married,7500.0,2013-10-02,19,3.0,1.0,10.0,3.0,2.0,12.0,3,2,0,3,5,0,0,0,0,0,0,0,1,31.0,5,0,38
Graduation,Single,79941.0,2014-06-28,72,123.0,164.0,266.0,227.0,30.0,174.0,1,2,4,9,1,0,0,0,0,0,0,0,0,984.0,15,0,38
2n Cycle,Married,7500.0,2012-11-09,24,3.0,18.0,14.0,15.0,22.0,50.0,3,3,1,3,9,0,0,0,0,0,0,1,0,122.0,7,0,16
Graduation,Married,41728.0,2013-05-24,92,13.0,6.0,15.0,3.0,5.0,13.0,1,2,0,2,10,0,0,0,0,0,0,0,1,55.0,4,0,45
Graduation,Single,51687.459375,2014-01-01,96,48.0,5.0,48.0,6.0,10.0,7.0,3,2,1,4,6,0,0,0,0,0,0,0,3,124.0,7,0,63
PhD,Married,72550.0,2012-11-08,39,826.0,50.0,317.0,50.0,38.0,38.0,9,5,2,12,8,0,0,0,0,0,0,0,2,1319.0,19,0,58
Graduation,Single,65486.0,2014-05-12,29,245.0,19.0,125.0,37.0,67.0,14.0,1,4,2,10,2,0,0,0,0,0,0,0,1,507.0,16,0,57
Master,Married,79143.0,2012-08-11,2,650.0,37.0,780.0,27.0,167.0,32.0,1,6,9,13,3,0,0,0,0,0,0,0,0,1693.0,28,0,48
Graduation,Single,35790.0,2013-01-02,54,12.0,6.0,20.0,30.0,1.0,3.0,2,2,0,3,7,0,0,0,0,0,0,0,1,72.0,5,0,36
Graduation,Single,82582.0,2014-06-07,54,510.0,120.0,550.0,156.0,40.0,241.0,1,4,9,7,1,1,0,0,1,0,0,1,0,1617.0,20,2,37
Graduation,Married,66373.0,2013-06-12,57,328.0,9.0,124.0,12.0,24.0,109.0,7,4,2,10,3,0,0,0,0,0,0,0,2,606.0,16,0,35
Master,Married,82384.0,2012-11-19,55,984.0,51.0,432.0,180.0,120.0,190.0,1,3,10,13,1,0,0,1,0,0,0,1,0,1957.0,26,1,57
Graduation,Single,70287.0,2013-04-02,30,295.0,35.0,482.0,121.0,120.0,40.0,1,5,5,10,3,0,0,0,0,0,0,1,0,1093.0,20,0,47
Graduation,Single,27938.0,2014-04-28,31,13.0,0.0,8.0,2.0,1.0,5.0,1,1,0,4,3,0,0,0,0,0,0,0,1,29.0,5,0,26
Graduation,Single,51687.459375,2013-06-17,57,11.0,3.0,22.0,2.0,2.0,6.0,2,2,0,3,6,0,0,0,0,0,0,0,1,46.0,5,0,31
PhD,Married,55954.0,2014-03-03,63,447.0,0.0,28.0,0.0,0.0,43.0,3,8,2,6,7,0,0,0,0,0,0,0,1,518.0,16,0,46
Master,Single,75777.0,2013-07-04,12,712.0,26.0,538.0,69.0,13.0,80.0,1,3,6,11,1,0,1,1,0,0,0,1,0,1438.0,20,2,31
Graduation,Married,66653.0,2012-09-07,18,452.0,18.0,102.0,16.0,18.0,6.0,4,4,2,12,3,0,0,0,0,0,0,0,2,612.0,18,0,37
Graduation,Single,61823.0,2013-02-18,26,523.0,7.0,134.0,37.0,14.0,169.0,4,8,2,10,7,0,0,0,0,0,0,0,1,884.0,20,0,61
PhD,Single,67680.0,2013-06-11,8,546.0,0.0,48.0,0.0,6.0,6.0,1,7,3,8,5,0,0,0,0,0,0,0,1,606.0,18,0,62
Graduation,Married,70666.0,2013-12-06,29,398.0,40.0,367.0,119.0,122.0,30.0,1,7,4,4,4,0,0,0,0,0,0,0,0,1076.0,15,0,65
Graduation,Married,25721.0,2013-05-21,75,1.0,3.0,6.0,3.0,6.0,15.0,1,1,1,2,7,0,0,0,0,0,0,1,1,34.0,4,0,42
Graduation,Married,32474.0,2014-05-11,0,10.0,0.0,1.0,0.0,0.0,0.0,1,1,0,2,7,0,0,0,0,0,0,0,2,11.0,3,0,47
2n Cycle,Single,88194.0,2014-03-19,19,688.0,14.0,309.0,201.0,24.0,38.0,1,11,10,10,5,1,0,0,1,0,0,1,1,1274.0,31,2,35
Graduation,Married,69096.0,2013-09-27,4,247.0,49.0,159.0,7.0,82.0,109.0,1,5,2,10,4,0,0,0,0,0,0,0,1,653.0,17,0,55
Graduation,Married,74854.0,2013-04-08,90,856.0,59.0,487.0,58.0,29.0,73.0,7,2,5,5,5,0,0,0,0,0,0,0,3,1562.0,12,0,43
Master,Married,66991.0,2012-09-11,1,496.0,36.0,460.0,189.0,60.0,12.0,3,4,8,6,3,0,0,0,0,0,0,0,0,1253.0,18,0,58
2n Cycle,Married,51687.459375,2012-09-14,25,25.0,3.0,43.0,17.0,4.0,17.0,3,3,0,3,8,0,0,0,0,0,0,0,1,109.0,6,0,39
Graduation,Married,65031.0,2013-03-17,29,258.0,107.0,291.0,84.0,37.0,86.0,4,10,3,13,7,0,0,0,0,0,0,0,1,863.0,26,0,54
PhD,Married,60631.0,2013-04-05,88,565.0,6.0,65.0,0.0,6.0,19.0,5,9,2,8,7,0,1,0,0,0,0,0,2,661.0,19,1,38
Graduation,Married,28332.0,2014-04-30,58,14.0,10.0,13.0,4.0,15.0,9.0,1,2,1,4,2,0,0,0,0,0,0,0,0,65.0,7,0,62
Graduation,Single,40246.0,2012-12-19,68,2.0,1.0,6.0,2.0,1.0,1.0,1,1,0,2,6,0,0,0,0,0,0,0,1,13.0,3,0,35
Master,Married,75251.0,2012-08-27,34,721.0,111.0,925.0,97.0,18.0,18.0,1,7,6,5,5,0,0,0,0,0,0,1,0,1890.0,18,0,40
Graduation,Single,75825.0,2012-10-12,40,1032.0,105.0,779.0,137.0,105.0,51.0,0,5,8,9,4,1,0,0,0,0,0,1,0,2209.0,22,1,36
2n Cycle,Married,26326.0,2013-09-04,12,1.0,0.0,5.0,0.0,3.0,9.0,1,0,0,3,3,0,0,0,0,0,1,0,0,18.0,3,0,37
Graduation,Married,56046.0,2013-01-02,9,577.0,0.0,64.0,0.0,0.0,51.0,2,10,1,8,8,1,0,0,0,0,0,1,0,692.0,19,1,48
Graduation,Single,29760.0,2012-08-29,87,64.0,4.0,68.0,7.0,5.0,17.0,4,3,1,4,8,0,0,0,0,0,0,0,1,165.0,8,0,27
Graduation,Married,26304.0,2013-06-23,5,4.0,1.0,5.0,2.0,0.0,4.0,1,1,0,2,7,0,0,0,0,0,0,0,1,16.0,3,0,44
2n Cycle,Married,23559.0,2013-07-03,87,25.0,5.0,19.0,7.0,0.0,23.0,3,3,0,3,7,0,0,0,0,0,0,0,1,79.0,6,0,40
Master,Married,38620.0,2013-05-11,56,112.0,17.0,44.0,34.0,22.0,89.0,1,2,5,3,3,0,0,0,0,0,0,0,0,318.0,10,0,50
Graduation,Single,81361.0,2014-02-25,18,163.0,23.0,424.0,27.0,65.0,76.0,1,3,10,13,1,0,0,0,0,0,0,0,0,778.0,26,0,27
Graduation,Married,29440.0,2013-08-11,95,17.0,8.0,14.0,10.0,4.0,3.0,2,1,0,4,7,0,0,0,0,0,0,0,2,56.0,5,0,53
Master,Married,36138.0,2013-07-16,48,130.0,0.0,16.0,0.0,0.0,5.0,5,3,1,4,7,0,1,0,0,0,0,0,2,151.0,8,1,43
Graduation,Single,50388.0,2014-05-28,3,292.0,6.0,37.0,0.0,3.0,34.0,4,6,1,6,7,0,1,0,1,0,0,1,1,372.0,13,2,57
Graduation,Married,79593.0,2014-05-12,70,350.0,60.0,568.0,110.0,133.0,145.0,1,5,6,7,2,0,0,1,0,0,0,0,0,1366.0,18,1,41
Graduation,Married,54178.0,2014-01-21,79,135.0,9.0,39.0,4.0,0.0,7.0,1,2,2,5,2,0,0,0,0,0,0,0,1,194.0,9,0,47
PhD,Married,51687.459375,2012-11-19,4,230.0,42.0,192.0,49.0,37.0,53.0,12,7,2,8,9,0,0,0,0,0,0,0,3,603.0,17,0,55
Graduation,Single,51687.459375,2014-05-27,45,7.0,0.0,8.0,2.0,0.0,1.0,1,1,0,2,7,0,0,0,0,0,0,0,2,18.0,3,0,57
Master,Married,51687.459375,2013-11-23,87,445.0,37.0,359.0,98.0,28.0,18.0,1,2,4,8,1,0,0,0,0,0,0,0,0,985.0,14,0,40
Master,Single,42394.0,2014-03-23,69,15.0,2.0,10.0,0.0,1.0,4.0,1,1,0,3,7,0,0,0,0,0,0,0,1,32.0,4,0,42
PhD,Married,23626.0,2014-05-24,84,27.0,2.0,14.0,0.0,0.0,0.0,3,3,1,3,5,0,0,0,0,0,0,0,1,43.0,7,0,44
Graduation,Married,30096.0,2014-05-22,30,5.0,3.0,11.0,12.0,5.0,9.0,1,2,0,3,6,0,0,0,0,0,0,0,1,45.0,5,0,31
Graduation,Single,47916.0,2012-11-22,72,505.0,0.0,26.0,0.0,0.0,75.0,5,7,4,6,6,0,1,0,0,0,0,0,1,606.0,17,1,52
Graduation,Single,51813.0,2013-04-11,37,51.0,2.0,7.0,0.0,1.0,2.0,2,2,0,3,7,0,0,0,0,0,0,0,2,63.0,5,0,41
2n Cycle,Married,78497.0,2013-12-01,44,207.0,26.0,447.0,75.0,0.0,223.0,1,5,7,12,2,0,0,0,1,0,0,0,0,978.0,24,1,62
PhD,Married,50150.0,2013-06-20,32,135.0,46.0,92.0,65.0,61.0,11.0,2,5,2,7,5,0,0,0,0,0,0,0,0,410.0,14,0,30
2n Cycle,Single,47823.0,2013-07-23,0,53.0,1.0,5.0,2.0,1.0,10.0,2,2,0,3,8,0,0,0,0,0,0,0,1,72.0,5,0,53
PhD,Single,34554.0,2014-03-30,43,41.0,1.0,6.0,2.0,0.0,5.0,2,2,0,3,6,0,0,0,0,0,0,0,1,55.0,5,0,55
Graduation,Married,85693.0,2013-04-20,59,386.0,172.0,183.0,185.0,132.0,111.0,2,9,5,11,5,0,0,0,0,0,0,0,1,1169.0,25,0,34
PhD,Married,65846.0,2013-05-17,68,562.0,81.0,276.0,80.0,40.0,81.0,1,6,3,6,4,0,0,0,0,0,0,0,0,1120.0,15,0,68
Graduation,Married,87195.0,2014-05-08,35,217.0,76.0,690.0,50.0,26.0,38.0,1,3,11,5,1,0,0,0,0,0,0,1,0,1097.0,19,0,55
High School,Married,24594.0,2013-12-10,94,1.0,3.0,6.0,10.0,0.0,9.0,1,1,0,3,5,0,0,0,0,0,0,0,1,29.0,4,0,34
Graduation,Married,49096.0,2013-09-24,15,144.0,1.0,32.0,2.0,1.0,7.0,4,4,1,4,7,0,0,0,0,0,0,0,2,187.0,9,0,49
Graduation,Married,52413.0,2013-02-02,56,295.0,106.0,271.0,75.0,98.0,65.0,4,6,4,12,6,0,0,0,0,0,0,0,2,910.0,22,0,44
Graduation,Single,38557.0,2012-12-19,17,76.0,3.0,31.0,4.0,4.0,27.0,2,3,1,3,7,0,0,0,0,0,0,0,1,145.0,7,0,34
Master,Married,89058.0,2012-12-07,18,454.0,194.0,106.0,31.0,22.0,43.0,1,5,4,4,2,0,0,0,0,0,0,0,0,850.0,13,0,52
